block,raintreat,comp,brc,datetime,temp
6,C,B,6CB,01-14-2025 12:31:13,18.015
6,D,B,6DB,01-14-2025 12:31:13,19.603
6,W,A,6WA,01-14-2025 12:31:13,19.56
8,C,A,8CA,01-14-2025 12:31:13,19.474
8,D,A,8DA,01-14-2025 12:31:13,22.177
8,W,B,8WB,01-14-2025 12:31:13,19.088
10,C,A,10CA,01-14-2025 12:31:13,18.659
10,D,B,10DB,01-14-2025 12:31:13,20.418
10,W,B,10WB,01-14-2025 12:31:13,19.56
11,AMB,,DSWS,01-14-2025 12:31:13,19.045
12,AMB,,USWS,01-14-2025 12:31:13,18.959
1,C,A,1CA,01-14-2025 13:01:14,19.045
1,D,B,1DB,01-14-2025 13:01:14,21.834
1,W,B,1WB,01-14-2025 13:01:14,19.817
2,C,B,2CB,01-14-2025 13:01:14,19.388
2,D,B,2DB,01-14-2025 13:01:14,19.86
2,W,A,2WA,01-14-2025 13:01:14,19.817
4,C,B,4CB,01-14-2025 13:01:14,22.82
4,D,A,4DA,01-14-2025 13:01:14,19.86
4,W,B,4WB,01-14-2025 13:01:14,18.616
6,C,B,6CB,01-14-2025 13:01:14,19.002
6,D,B,6DB,01-14-2025 13:01:14,20.289
6,W,A,6WA,01-14-2025 13:01:14,20.504
8,C,A,8CA,01-14-2025 13:01:14,19.646
8,D,A,8DA,01-14-2025 13:01:14,23.464
8,W,B,8WB,01-14-2025 13:01:14,19.731
10,C,A,10CA,01-14-2025 13:01:14,19.431
10,D,B,10DB,01-14-2025 13:01:14,21.104
10,W,B,10WB,01-14-2025 13:01:14,20.289
11,AMB,,DSWS,01-14-2025 13:01:14,20.16
12,AMB,,USWS,01-14-2025 13:01:14,20.075
1,C,A,1CA,01-14-2025 13:31:15,18.83
1,D,B,1DB,01-14-2025 13:31:15,19.345
1,W,B,1WB,01-14-2025 13:31:15,19.774
2,C,B,2CB,01-14-2025 13:31:15,19.131
2,D,B,2DB,01-14-2025 13:31:15,20.246
2,W,A,2WA,01-14-2025 13:31:15,19.774
4,C,B,4CB,01-14-2025 13:31:15,22.091
4,D,A,4DA,01-14-2025 13:31:15,19.731
4,W,B,4WB,01-14-2025 13:31:15,18.487
6,C,B,6CB,01-14-2025 13:31:15,18.659
6,D,B,6DB,01-14-2025 13:31:15,20.461
6,W,A,6WA,01-14-2025 13:31:15,20.16
8,C,A,8CA,01-14-2025 13:31:15,19.345
8,D,A,8DA,01-14-2025 13:31:15,22.906
8,W,B,8WB,01-14-2025 13:31:15,19.56
10,C,A,10CA,01-14-2025 13:31:15,18.959
10,D,B,10DB,01-14-2025 13:31:15,21.018
10,W,B,10WB,01-14-2025 13:31:15,20.16
11,AMB,,DSWS,01-14-2025 13:31:15,19.302
12,AMB,,USWS,01-14-2025 13:31:15,19.646
1,C,A,1CA,01-14-2025 14:01:16,19.302
1,D,B,1DB,01-14-2025 14:01:16,21.405
1,W,B,1WB,01-14-2025 14:01:16,19.774
2,C,B,2CB,01-14-2025 14:01:16,19.731
2,D,B,2DB,01-14-2025 14:01:16,21.49
2,W,A,2WA,01-14-2025 14:01:16,20.246
4,C,B,4CB,01-14-2025 14:01:16,23.163
4,D,A,4DA,01-14-2025 14:01:16,20.632
4,W,B,4WB,01-14-2025 14:01:16,19.002
6,C,B,6CB,01-14-2025 14:01:16,19.045
6,D,B,6DB,01-14-2025 14:01:16,21.018
6,W,A,6WA,01-14-2025 14:01:16,20.632
8,C,A,8CA,01-14-2025 14:01:16,19.774
8,D,A,8DA,01-14-2025 14:01:16,23.85
8,W,B,8WB,01-14-2025 14:01:16,20.075
10,C,A,10CA,01-14-2025 14:01:16,19.26
10,D,B,10DB,01-14-2025 14:01:16,21.705
10,W,B,10WB,01-14-2025 14:01:16,21.619
11,AMB,,DSWS,01-14-2025 14:01:16,20.418
12,AMB,,USWS,01-14-2025 14:01:16,20.632
1,C,A,1CA,01-15-2025 10:31:57,15.055
1,D,B,1DB,01-15-2025 10:31:57,17.543
1,W,B,1WB,01-15-2025 10:31:57,16.514
2,C,B,2CB,01-15-2025 10:31:57,15.184
2,D,B,2DB,01-15-2025 10:31:57,17.672
2,W,A,2WA,01-15-2025 10:31:57,16.9
4,C,B,4CB,01-15-2025 10:31:57,17.93
4,D,A,4DA,01-15-2025 10:31:57,16.171
4,W,B,4WB,01-15-2025 10:31:57,15.356
6,C,B,6CB,01-15-2025 10:31:57,14.54
6,D,B,6DB,01-15-2025 10:31:57,16.814
6,W,A,6WA,01-15-2025 10:31:57,15.313
8,C,A,8CA,01-15-2025 10:31:57,15.699
8,D,A,8DA,01-15-2025 10:31:57,19.946
8,W,B,8WB,01-15-2025 10:31:57,15.742
10,C,A,10CA,01-15-2025 10:31:57,15.012
10,D,B,10DB,01-15-2025 10:31:57,17.758
10,W,B,10WB,01-15-2025 10:31:57,16.171
11,AMB,,DSWS,01-15-2025 10:31:57,13.854
12,AMB,,USWS,01-15-2025 10:31:57,14.798
1,C,A,1CA,01-15-2025 11:01:58,15.742
1,D,B,1DB,01-15-2025 11:01:58,18.187
1,W,B,1WB,01-15-2025 11:01:58,16.256
2,C,B,2CB,01-15-2025 11:01:58,16.171
2,D,B,2DB,01-15-2025 11:01:58,17.801
2,W,A,2WA,01-15-2025 11:01:58,16.685
4,C,B,4CB,01-15-2025 11:01:58,20.632
4,D,A,4DA,01-15-2025 11:01:58,16.986
4,W,B,4WB,01-15-2025 11:01:58,16.299
6,C,B,6CB,01-15-2025 11:01:58,15.656
6,D,B,6DB,01-15-2025 11:01:58,16.214
6,W,A,6WA,01-15-2025 11:01:58,16.128
8,C,A,8CA,01-15-2025 11:01:58,17.93
8,D,A,8DA,01-15-2025 11:01:58,21.147
8,W,B,8WB,01-15-2025 11:01:58,16.685
10,C,A,10CA,01-15-2025 11:01:58,15.742
10,D,B,10DB,01-15-2025 11:01:58,17.715
10,W,B,10WB,01-15-2025 11:01:58,16.342
11,AMB,,DSWS,01-15-2025 11:01:58,16.128
12,AMB,,USWS,01-15-2025 11:01:58,17.2
1,C,A,1CA,01-15-2025 11:31:59,16.857
1,D,B,1DB,01-15-2025 11:31:59,22.134
1,W,B,1WB,01-15-2025 11:31:59,18.573
2,C,B,2CB,01-15-2025 11:31:59,17.157
2,D,B,2DB,01-15-2025 11:31:59,19.731
2,W,A,2WA,01-15-2025 11:31:59,18.916
4,C,B,4CB,01-15-2025 11:31:59,22.563
4,D,A,4DA,01-15-2025 11:31:59,18.015
4,W,B,4WB,01-15-2025 11:31:59,16.342
6,C,B,6CB,01-15-2025 11:31:59,16.514
6,D,B,6DB,01-15-2025 11:31:59,19.603
6,W,A,6WA,01-15-2025 11:31:59,18.659
8,C,A,8CA,01-15-2025 11:31:59,17.415
8,D,A,8DA,01-15-2025 11:31:59,22.649
8,W,B,8WB,01-15-2025 11:31:59,17.844
10,C,A,10CA,01-15-2025 11:31:59,17.329
10,D,B,10DB,01-15-2025 11:31:59,21.319
10,W,B,10WB,01-15-2025 11:31:59,19.817
11,AMB,,DSWS,01-15-2025 11:31:59,17.715
12,AMB,,USWS,01-15-2025 11:31:59,17.543
1,C,A,1CA,01-15-2025 12:02:00,17.372
1,D,B,1DB,01-15-2025 12:02:00,19.946
1,W,B,1WB,01-15-2025 12:02:00,17.372
2,C,B,2CB,01-15-2025 12:02:00,17.972
2,D,B,2DB,01-15-2025 12:02:00,18.573
2,W,A,2WA,01-15-2025 12:02:00,17.801
4,C,B,4CB,01-15-2025 12:02:00,21.748
4,D,A,4DA,01-15-2025 12:02:00,18.959
4,W,B,4WB,01-15-2025 12:02:00,17.458
6,C,B,6CB,01-15-2025 12:02:00,17.501
6,D,B,6DB,01-15-2025 12:02:00,19.431
6,W,A,6WA,01-15-2025 12:02:00,18.444
8,C,A,8CA,01-15-2025 12:02:00,19.002
8,D,A,8DA,01-15-2025 12:02:00,21.662
8,W,B,8WB,01-15-2025 12:02:00,18.187
10,C,A,10CA,01-15-2025 12:02:00,17.801
10,D,B,10DB,01-15-2025 12:02:00,19.56
10,W,B,10WB,01-15-2025 12:02:00,17.93
11,AMB,,DSWS,01-15-2025 12:02:00,19.002
12,AMB,,USWS,01-15-2025 12:02:00,19.388
1,C,A,1CA,01-15-2025 12:32:01,17.114
1,D,B,1DB,01-15-2025 12:32:01,18.959
1,W,B,1WB,01-15-2025 12:32:01,17.758
2,C,B,2CB,01-15-2025 12:32:01,17.458
2,D,B,2DB,01-15-2025 12:32:01,16.771
2,W,A,2WA,01-15-2025 12:32:01,17.157
4,C,B,4CB,01-15-2025 12:32:01,20.332
4,D,A,4DA,01-15-2025 12:32:01,18.53
4,W,B,4WB,01-15-2025 12:32:01,17.029
6,C,B,6CB,01-15-2025 12:32:01,16.943
6,D,B,6DB,01-15-2025 12:32:01,18.444
6,W,A,6WA,01-15-2025 12:32:01,18.616
8,C,A,8CA,01-15-2025 12:32:01,18.702
8,D,A,8DA,01-15-2025 12:32:01,19.774
8,W,B,8WB,01-15-2025 12:32:01,17.543
10,C,A,10CA,01-15-2025 12:32:01,17.543
10,D,B,10DB,01-15-2025 12:32:01,19.388
10,W,B,10WB,01-15-2025 12:32:01,18.316
11,AMB,,DSWS,01-15-2025 12:32:01,18.873
12,AMB,,USWS,01-15-2025 12:32:01,18.959
1,C,A,1CA,01-15-2025 13:02:02,17.458
1,D,B,1DB,01-15-2025 13:02:02,18.316
1,W,B,1WB,01-15-2025 13:02:02,17.2
2,C,B,2CB,01-15-2025 13:02:02,18.015
2,D,B,2DB,01-15-2025 13:02:02,17.586
2,W,A,2WA,01-15-2025 13:02:02,17.329
4,C,B,4CB,01-15-2025 13:02:02,21.104
4,D,A,4DA,01-15-2025 13:02:02,18.959
4,W,B,4WB,01-15-2025 13:02:02,17.801
6,C,B,6CB,01-15-2025 13:02:02,17.458
6,D,B,6DB,01-15-2025 13:02:02,18.702
6,W,A,6WA,01-15-2025 13:02:02,18.401
8,C,A,8CA,01-15-2025 13:02:02,19.217
8,D,A,8DA,01-15-2025 13:02:02,20.504
8,W,B,8WB,01-15-2025 13:02:02,17.758
10,C,A,10CA,01-15-2025 13:02:02,17.715
10,D,B,10DB,01-15-2025 13:02:02,18.83
10,W,B,10WB,01-15-2025 13:02:02,17.758
11,AMB,,DSWS,01-15-2025 13:02:02,19.345
12,AMB,,USWS,01-15-2025 13:02:02,20.547
1,C,A,1CA,01-15-2025 13:32:03,18.487
1,D,B,1DB,01-15-2025 13:32:03,17.715
1,W,B,1WB,01-15-2025 13:32:03,18.53
2,C,B,2CB,01-15-2025 13:32:03,18.873
2,D,B,2DB,01-15-2025 13:32:03,20.589
2,W,A,2WA,01-15-2025 13:32:03,19.131
4,C,B,4CB,01-15-2025 13:32:03,23.121
4,D,A,4DA,01-15-2025 13:32:03,19.946
4,W,B,4WB,01-15-2025 13:32:03,18.015
6,C,B,6CB,01-15-2025 13:32:03,17.93
6,D,B,6DB,01-15-2025 13:32:03,19.989
6,W,A,6WA,01-15-2025 13:32:03,19.131
8,C,A,8CA,01-15-2025 13:32:03,20.332
8,D,A,8DA,01-15-2025 13:32:03,23.721
8,W,B,8WB,01-15-2025 13:32:03,19.002
10,C,A,10CA,01-15-2025 13:32:03,18.23
10,D,B,10DB,01-15-2025 13:32:03,19.689
10,W,B,10WB,01-15-2025 13:32:03,18.273
11,AMB,,DSWS,01-15-2025 13:32:03,19.86
12,AMB,,USWS,01-15-2025 13:32:03,20.246
1,C,A,1CA,01-15-2025 14:02:04,19.131
1,D,B,1DB,01-15-2025 14:02:04,21.876
1,W,B,1WB,01-15-2025 14:02:04,19.946
2,C,B,2CB,01-15-2025 14:02:04,19.431
2,D,B,2DB,01-15-2025 14:02:04,21.705
2,W,A,2WA,01-15-2025 14:02:04,20.504
4,C,B,4CB,01-15-2025 14:02:04,24.279
4,D,A,4DA,01-15-2025 14:02:04,20.976
4,W,B,4WB,01-15-2025 14:02:04,18.444
6,C,B,6CB,01-15-2025 14:02:04,18.788
6,D,B,6DB,01-15-2025 14:02:04,21.576
6,W,A,6WA,01-15-2025 14:02:04,21.233
8,C,A,8CA,01-15-2025 14:02:04,20.032
8,D,A,8DA,01-15-2025 14:02:04,25.737
8,W,B,8WB,01-15-2025 14:02:04,20.075
10,C,A,10CA,01-15-2025 14:02:04,18.959
10,D,B,10DB,01-15-2025 14:02:04,22.134
10,W,B,10WB,01-15-2025 14:02:04,22.22
11,AMB,,DSWS,01-15-2025 14:02:04,20.418
12,AMB,,USWS,01-15-2025 14:02:04,20.847
1,C,A,1CA,01-16-2025 10:32:45,16.299
1,D,B,1DB,01-16-2025 10:32:45,18.573
1,W,B,1WB,01-16-2025 10:32:45,16.857
2,C,B,2CB,01-16-2025 10:32:45,15.827
2,D,B,2DB,01-16-2025 10:32:45,18.144
2,W,A,2WA,01-16-2025 10:32:45,16.557
4,C,B,4CB,01-16-2025 10:32:45,17.758
4,D,A,4DA,01-16-2025 10:32:45,17.286
4,W,B,4WB,01-16-2025 10:32:45,16.9
