block,raintreat,comp,brc,datetime,temp
6,C,B,6CB,04-07-2025 12:37:33,19.903
6,D,B,6DB,04-07-2025 12:37:33,21.748
6,W,A,6WA,04-07-2025 12:37:33,21.962
8,C,A,8CA,04-07-2025 12:37:33,21.405
8,D,A,8DA,04-07-2025 12:37:33,20.246
8,W,B,8WB,04-07-2025 12:37:33,18.788
10,C,A,10CA,04-07-2025 12:37:33,19.388
10,D,B,10DB,04-07-2025 12:37:33,20.16
10,W,B,10WB,04-07-2025 12:37:33,20.804
11,AMB,,DSWS,04-07-2025 12:37:33,17.972
12,AMB,,USWS,04-07-2025 12:37:33,18.83
1,C,A,1CA,04-07-2025 13:07:34,24.665
1,D,B,1DB,04-07-2025 13:07:34,21.19
1,W,B,1WB,04-07-2025 13:07:34,20.718
2,C,B,2CB,04-07-2025 13:07:34,24.837
2,D,B,2DB,04-07-2025 13:07:34,24.837
2,W,A,2WA,04-07-2025 13:07:34,24.408
4,C,B,4CB,04-07-2025 13:07:34,22.949
4,D,A,4DA,04-07-2025 13:07:34,25.051
4,W,B,4WB,04-07-2025 13:07:34,24.493
6,C,B,6CB,04-07-2025 13:07:34,22.649
6,D,B,6DB,04-07-2025 13:07:34,22.606
6,W,A,6WA,04-07-2025 13:07:34,22.863
8,C,A,8CA,04-07-2025 13:07:34,22.22
8,D,A,8DA,04-07-2025 13:07:34,21.49
8,W,B,8WB,04-07-2025 13:07:34,19.56
10,C,A,10CA,04-07-2025 13:07:34,20.461
10,D,B,10DB,04-07-2025 13:07:34,20.847
10,W,B,10WB,04-07-2025 13:07:34,21.147
11,AMB,,DSWS,04-07-2025 13:07:34,19.431
12,AMB,,USWS,04-07-2025 13:07:34,20.847
1,C,A,1CA,04-07-2025 13:37:35,27.582
1,D,B,1DB,04-07-2025 13:37:35,23.078
1,W,B,1WB,04-07-2025 13:37:35,23.035
2,C,B,2CB,04-07-2025 13:37:35,26.51
2,D,B,2DB,04-07-2025 13:37:35,25.351
2,W,A,2WA,04-07-2025 13:37:35,27.882
4,C,B,4CB,04-07-2025 13:37:35,24.236
